Region,Municipality,Barangay,Microenterprise Development,Employment Facilitation,Total
National Capital Region (NCR),Malate,Barangay 711,1,0,1
National Capital Region (NCR),Malate,Barangay 734,1,0,1
National Capital Region (NCR),Malate,Barangay 706,1,0,1
National Capital Region (NCR),Malate,Barangay 716,1,0,1
National Capital Region (NCR),Malate,Barangay 718,1,0,1
National Capital Region (NCR),Paco,Barangay 830,15,0,14
National Capital Region (NCR),Paco,Barangay 671,1,0,1
National Capital Region (NCR),Paco,Barangay 823,1,0,1
National Capital Region (NCR),Paco,Barangay 821,1,0,1
National Capital Region (NCR),Paco,Barangay 686,1,0,1
National Capital Region (NCR),Paco,Barangay 672,1,0,1
National Capital Region (NCR),Paco,Barangay 829,2,0,1
National Capital Region (NCR),Paco,Barangay 814,1,0,1
National Capital Region (NCR),Paco,Barangay 818,1,0,1
National Capital Region (NCR),Pateros,Santa Ana,17,0,17
National Capital Region (NCR),Pateros,Martires Del 96,5,0,5
National Capital Region (NCR),Intramuros,Barangay 655,7,0,7
National Capital Region (NCR),Intramuros,Barangay 658,3,0,3
National Capital Region (NCR),Intramuros,Barangay 654,1,0,1
National Capital Region (NCR),Intramuros,Barangay 657,3,0,1
National Capital Region (NCR),Binondo,Barangay 287,5,0,5
National Capital Region (NCR),Binondo,Barangay 294,1,0,1
National Capital Region (NCR),Binondo,Barangay 292,1,0,1
National Capital Region (NCR),Ermita,Barangay 666,2,0,2
National Capital Region (NCR),Ermita,Barangay 670,1,0,1
National Capital Region (NCR),Ermita,Barangay 645,1,0,1
Grand Total,,,"27,277",25,"21,369"
